"UK Products of agriculture, hunting and related services"
"UK Products of forestry, logging and related services"
UK Fish and other fishing products; aquaculture products; support services to fishing
UK Coal and lignite
UK Crude petroleum and natural gas
UK Metal ores
UK Other mining and quarrying products
UK Mining support services
UK Preserved meat and meat products
"UK Processed and preserved fish, crustaceans, molluscs, fruit and vegetables"
UK Vegetable and animal oils and fats
UK Dairy products
"UK Grain mill products, starches and starch products"
UK Bakery and farinaceous products
UK Other food products
UK Prepared animal feeds
UK Alcoholic beverages
UK Soft drinks
UK Tobacco products
UK Textiles
UK Wearing apparel
UK Leather and related products
"UK Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials"
UK Paper and paper products
UK Printing and recording services
UK Coke and refined petroleum products
"UK Paints, varnishes and similar coatings, printing ink and mastics"
"UK Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
UK Other chemical products
"UK Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15"
UK Petrochemicals - 20.14/16/17/60
"UK Dyestuffs, agro-chemicals - 20.12/20"
UK Basic pharmaceutical products and pharmaceutical preparations
UK Rubber and plastic products
"UK Cement, lime, plaster and articles of concrete, cement and plaster"
"UK Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9"
UK Basic iron and steel
UK Other basic metals and casting
UK Weapons and ammunition
"UK Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9"
"UK Computer, electronic and optical products"
UK Electrical equipment
UK Machinery and equipment n.e.c.
"UK Motor vehicles, trailers and semi-trailers"
UK Ships and boats
UK Air and spacecraft and related machinery
UK Other transport equipment - 30.2/4/9
UK Furniture
UK Other manufactured goods
UK Repair and maintenance of ships and boats
UK Repair and maintenance of aircraft and spacecraft
UK Rest of repair; Installation - 33.11-14/17/19/20
"UK Electricity, transmission and distribution"
UK Gas; distribution of gaseous fuels through mains; steam and air conditioning supply
UK Natural water; water treatment and supply services
UK Sewerage services; sewage sludge
"UK Waste collection, treatment and disposal services; materials recovery services"
UK Remediation services and other waste management services
UK Buildings and building construction works
UK Constructions and construction works for civil engineering
UK Specialised construction works
UK Wholesale and retail trade and repair services of motor vehicles and motorcycles
